Excluded firm,β,SE,N
google,-0.0004136837522406102,0.0030553026349075044,28813
openai,-0.005268122696018304,0.005459768373334614,25514
mistralai,0.0011379409854630927,0.0029576606116836456,28010
minimax,-0.0002716563318583297,0.0029848609391488414,30399
deepseek,-0.00061283617539502,0.0030685500006687157,29834
